INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location
I182079671,301,Robbery,ROBBERY - STREET,B3,431,,2018-10-02 16:57:00,2018,10,Tuesday,16,Part One,BLUE HILL AVE,42.28863337,-71.08990388,"(42.28863337, -71.08990388)"
I182079520,301,Robbery,ROBBERY - STREET,B2,280,,2018-10-02 08:05:00,2018,10,Tuesday,8,Part One,DUDLEY ST,42.32863172,-71.08309899,"(42.32863172, -71.08309899)"
I182079510,301,Robbery,ROBBERY - STREET,C11,403,,2018-10-02 06:40:00,2018,10,Tuesday,6,Part One,FULLER ST,42.28248068,-71.06981187,"(42.28248068, -71.06981187)"
I182079503,301,Robbery,ROBBERY - STREET,C11,253,,2018-10-02 06:18:00,2018,10,Tuesday,6,Part One,BEACH ST,42.30178949,-71.05514183,"(42.30178949, -71.05514183)"
I182079502,381,Robbery,ROBBERY - CAR JACKING,C11,353,,2018-10-02 00:00:00,2018,10,Tuesday,0,Part One,MILL ST,42.29921088,-71.05203766,"(42.29921088, -71.05203766)"
I182079497,301,Robbery,ROBBERY - STREET,A1,101,,2018-10-02 02:45:00,2018,10,Tuesday,2,Part One,INDIA ST,42.35847666,-71.05324087,"(42.35847666, -71.05324087)"
I182079444,311,Robbery,ROBBERY - COMMERCIAL,D14,783,,2018-10-01 20:19:00,2018,10,Monday,20,Part One,COMMONWEALTH AVE,42.34888559,-71.14007361,"(42.34888559, -71.14007361)"
I182079436,361,Robbery,ROBBERY - OTHER,A7,19,,2018-10-01 19:43:00,2018,10,Monday,19,Part One,BENNINGTON ST,42.37803936,-71.0304617,"(42.37803936, -71.03046170)"
I182079383,301,Robbery,ROBBERY - STREET,C11,351,,2018-10-01 16:19:00,2018,10,Monday,16,Part One,CHARLES ST,42.30078455,-71.06000691,"(42.30078455, -71.06000691)"
I182079233,301,Robbery,ROBBERY - STREET,A1,101,,2018-10-01 03:00:00,2018,10,Monday,3,Part One,MILK ST,42.35822966,-71.05362239,"(42.35822966, -71.05362239)"
I182079048,301,Robbery,ROBBERY - STREET,B2,262,,2018-09-30 15:01:00,2018,9,Sunday,15,Part One,DUDLEY ST,42.3219697,-71.07242529,"(42.32196970, -71.07242529)"
I182079046,301,Robbery,ROBBERY - STREET,B3,416,,2018-09-29 18:00:00,2018,9,Saturday,18,Part One,FULLER ST,42.28154388,-71.07350542,"(42.28154388, -71.07350542)"
I182078968,361,Robbery,ROBBERY - OTHER,A1,112,,2018-09-30 07:19:00,2018,9,Sunday,7,Part One,WASHINGTON ST,42.35272948,-71.06256291,"(42.35272948, -71.06256291)"
